id,title,company,location,salary_min,salary_max,category,description,created
5766911457,"Chief Engineer, Data Centre Engineering Operations, Data Centre Engineering Operations",Amazon TA,"Charing Cross, Central London",59438.12,59438.12,IT Jobs,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain — and we’re looking for talented people wh…",2026-06-17T16:58:40Z
5759905518,"Data Center Facility Engineer, Data Center Engineering Operations",Amazon TA,"Charing Cross, Central London",50372.37,50372.37,IT Jobs,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain — and we’re looking for talented people wh…",2026-06-11T13:15:04Z
5773683183,Data Engineer,Ocho,"Belfast, Northern Ireland",55000.0,55000.0,IT Jobs,"Data Engineer Location: Belfast (Hybrid) Eligibility: UK work authorisation required We're working with a highly regarded technology consultancy delivering complex data solutions for global financial markets clients. Due to continued growth, they're looking for a Data Engineer to join their Belfast team and work on large scale, data intensive platforms within a fast paced engineering environment. This is a strong opportunity for an engineer who enjoys building robust data pipelines, working wit…",2026-06-23T15:36:28Z
5764563238,Data Engineer,PA Consulting,"Belfast, Northern Ireland",54838.96,54838.96,IT Jobs,"Company description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our teams of interdisciplinary experts combine innovative thinking and breakthrough technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results. We are over 4,000 strategists, innovators, designers, consultants, digital experts, scientists, engineers, and tech…",2026-06-15T20:51:22Z
5765774012,Data Engineer,PA Consulting,"Belfast, Northern Ireland",53868.62,53868.62,IT Jobs,"Company description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our teams of interdisciplinary experts combine innovative thinking and breakthrough technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results. We are over 4,000 strategists, innovators, designers, consultants, digital experts, scientists, engineers, and tech…",2026-06-16T20:35:08Z
5754136957,Data Engineer,Version 1,"Belfast, Northern Ireland",58870.26,58870.26,IT Jobs,"Version 1 has celebrated over 29 years in Technology Services and continues to be trusted by global brands to deliver solutions that drive customer success. Our expertise enables our customers to navigate the rapidly changing Digital-First world we live in. We foster strong partnerships with leading technology giants including Microsoft, AWS, Oracle, Red Hat, OutSystems, Snowflake, ensuring that our customers are provided with the highest quality solutions and services. Were an award-winning em…",2026-06-06T08:09:59Z
5782305108,Data Engineer,Experis,"Bristol, South West England",51831.18,51831.18,IT Jobs,"Role Title: Data Engineer Duration: contract to run until 31/03/2027 Location: Hybrid . Bristol visits twice a month - predominantly remote Rate: TBC Umbrella inside IR35 Clearance required: Active SC Clearance Desired. SC Eligible required Role purpose / summary Embedded within the Data & Digital Analytics Platform (DDAP). This role focuses on developing, maintaining, and supporting data pipelines between BMfS applications and DDAP. The postholder ensures BMfS data is reliably ingested, transf…",2026-06-30T19:04:10Z
5777758783,Data Engineering Manager,Ocho,"Belfast, Northern Ireland",100000.0,100000.0,IT Jobs,"Data Engineering Manager Remote | Fintech | Up to £110,000  Bonus Manager-level data engineering leadership role in a high-growth global fintech Own the roadmap for a high-impact transaction matching and data platform Hands-on technical leadership across ETL/ELT, Snowflake, DBT and cloud data architecture Fully remote working model Competitive salary plus bonus and benefits About the Company Our client is a global fintech organisation operating at significant scale, powering merchant commerce a…",2026-06-26T14:41:50Z
5778430008,Principal Data Engineer,Everway,"Antrim, County Antrim",102430.48,102430.48,IT Jobs,"Every mind is unique. Yet much of the world is still built for what's considered ""normal,"" leaving too many people behind. At Everway, we change that by creating technology that helps everyone understand and be understood. By understanding and addressing the unique needs of each individual, we're creating a world where differences are recognized and valued. Our careers fit real life. When you join us, you're not just taking a job. You're joining a movement to build a more neuroinclusive world. …",2026-06-27T02:41:19Z
5766992560,Manufacturing Data Engineer,Park Recruit,"County Tyrone, Northern Ireland",40000.0,40000.0,Manufacturing Jobs,"Park Recruit are delighted to be partnering with a leading global engineering and manufacturing organisation in the Mid Ulster area to recruit a Data Manufacturing Engineer. This is an excellent opportunity to join an innovative business at the forefront of industrial equipment manufacturing, supporting the accurate flow of engineering and production data across the organisation. As a Data Manufacturing Engineer, you will play a key role in managing product and manufacturing data, ensuring info…",2026-06-17T21:06:43Z
